vente_id;produit_id;customer_id;employee_id;date_id;ticket_id
1;6473630445822;CUST-G42Z6WE8QLWJ;b413ca065a762e8cf2e86cfea8b9c174;45518;t_2693
2;1857802002765;CUST-CUA37GP8GABQ;a7ada0770091e838e3dcd45265282820;45518;t_4408
3;6831886714876;CUST-NHWI0DGNESYI;fa836e3f5faf72d24e079235332169ce;45518;t_3258
4;6916826750723;CUST-IYXDMN7Q11O4;6c1c3292c852c6c593b95cc146b00c0e;45518;t_1080
5;7930902861368;CUST-VR9O54A46EVF;38680e129f45c49322cb12303b7fb655;45518;t_979
6;1107570796338;CUST-VR9O54A46EVF;38680e129f45c49322cb12303b7fb655;45518;t_979
7;3300979065063;CUST-VR9O54A46EVF;38680e129f45c49322cb12303b7fb655;45518;t_979
8;7189964709179;CUST-0Q6DPH2HT4D4;b5a8777821fdab1a20a4bc0e5f98dfa0;45518;t_4245
9;8611110524962;CUST-Y5PASK3M43ER;578b43483938010803dcdf457753d923;45518;t_3929
10;8589480061513;CUST-I3MHPVC48DMB;6fa61d0ecae0b563fef18d36b2039c8e;45518;t_4180
11;9491721740592;CUST-YFHO3R4XPYQR;658e6925c1774feb2781a2888c9d4202;45518;t_817
12;9054957126839;CUST-FB406EI9DXG1;c36c4a024dd3bbe72042482e25923378;45518;t_4289
13;482378487314;CUST-W8TFOJ5PO48E;4efc10ff0f86c772d9949b490eb99ad3;45518;t_59
14;65057604442;CUST-W8TFOJ5PO48E;4efc10ff0f86c772d9949b490eb99ad3;45518;t_59
15;3141385817333;CUST-S41ZJZAN9S4D;8d1001fbad3d2a60ff7530600ed5d55e;45518;t_3132
16;6609808284337;CUST-AAJP6S67413E;8d1001fbad3d2a60ff7530600ed5d55e;45518;t_501
17;8137460505825;CUST-AAJP6S67413E;8d1001fbad3d2a60ff7530600ed5d55e;45518;t_501
18;8629575000072;CUST-89UPPH07LEDY;9bc5a4ce59447208da2fb2912c4fbff7;45518;t_4621
19;837184296438;CUST-89UPPH07LEDY;9bc5a4ce59447208da2fb2912c4fbff7;45518;t_4621
20;4148018290814;CUST-AAJP6S67413E;8d1001fbad3d2a60ff7530600ed5d55e;45518;t_501
21;3481076969747;CUST-89UPPH07LEDY;9bc5a4ce59447208da2fb2912c4fbff7;45518;t_4621
22;4061391126975;CUST-89UPPH07LEDY;9bc5a4ce59447208da2fb2912c4fbff7;45518;t_4621
23;1529464381224;CUST-MJ27PSVFS53Y;2477db17c02f512ebc4b20f01a7edb55;45518;t_2542
24;3826290853300;CUST-D8MDPA1BBAGM;6d0cd9c04db768e471c92be478c88a32;45518;t_3407
25;7614746025274;CUST-557XHMY632II;6c1c3292c852c6c593b95cc146b00c0e;45518;t_3295
